id,track_name,track_artist_name,youtube_url,track_duration_ms,views,likes,track_album_release_date,track_album_type,track_album_name,artist_genres,artist_popularity,track_popularity,track_explicit,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,source_type,source_ref
MYIVW-wvlJQ,Watching Us,"Wale, Leon Thomas",https://youtube.com/watch?v=MYIVW-wvlJQ,230000,1085159,31378,2026-02-03T17:00:06Z,single,Watching Us,[],60,60,False,0.9392930829765316,1.0,3,-14.320106506347656,0,0.5332054700444379,0.7985650181310481,0.0,0.0513347769156098,0.2289832761264966,99.38401442307692,,
OLpxwid-WtU,Feed the Streets,Unknown Artist,https://youtube.com/watch?v=OLpxwid-WtU,179000,767557,20457,2026-01-29T10:03:18Z,single,Feed the Streets,[],57,57,False,0.7552786924930883,1.0,3,-13.504467010498049,0,0.3950162421816833,0.8274625498964125,0.0,0.0770811028778553,0.3258806175155381,172.265625,,
NaZPFC5ZM6I,La Diferencia (Letra/Lyrics),Vicente Fernández,https://youtube.com/watch?v=NaZPFC5ZM6I,171000,600935,1164,2026-02-02T19:30:04Z,single,La Diferencia (Letra/Lyrics),[],55,55,False,0.9303360812585753,1.0,0,-19.435556411743164,1,0.5101362077000571,0.8077951789479851,0.0,0.0250800433568656,0.6637383936123478,117.45383522727272,,
UhJBtTPbeCQ,Chy Cartier's Adlibs,Marnz Malone ft Tunde,https://youtube.com/watch?v=UhJBtTPbeCQ,188000,760616,15146,2026-01-29T16:00:50Z,single,Chy Cartier's Adlibs,[],57,57,False,0.9412993642958932,1.0,2,-21.777599334716797,0,0.6231225777192303,0.8410634172871134,0.0,0.1644424088299274,0.230559237406933,103.359375,,
ZPGWdJsNvjY,Pick Your Poison,Marnz Malone,https://youtube.com/watch?v=ZPGWdJsNvjY,201000,174629,5606,2026-02-05T19:30:06Z,single,Pick Your Poison,[],44,44,False,0.9269102800249348,1.0,4,-20.747726440429688,1,0.7841285143534578,0.8079003979745271,0.0,0.099066668190062,0.674908690303821,123.046875,,
VdU_iaEoBKM,Omens,EsDeeKid,https://youtube.com/watch?v=VdU_iaEoBKM,122000,741793,58186,2026-02-05T19:00:28Z,single,Omens,[],57,57,False,0.907476139311752,1.0,1,-8.322929382324219,0,0.5896379726756396,0.7767398506697876,0.0,0.0969539284706115,0.2918874598995318,129.19921875,,
qpTPHtlwrJM,Lush Life,Zara Larsson,https://youtube.com/watch?v=qpTPHtlwrJM,200000,925232,3219,2026-02-04T15:40:42Z,single,Lush Life,[],59,59,False,0.9337553557832056,1.0,0,-13.640338897705078,0,0.5368007724540956,0.7805204603658037,0.0,0.0805181646719574,0.2316899597912832,99.38401442307692,,
SvjhY9-3KOA,Splashin ft @JHusMusic  [Track 2: Ya'qeen] (Lyric Visualiser),Marnz Malone,https://youtube.com/watch?v=SvjhY9-3KOA,191000,69037,2132,2026-02-06T00:00:36Z,single,Splashin ft @JHusMusic  [Track 2: Ya'qeen] (Lyric Visualiser),[],36,36,False,0.9109060705175094,1.0,3,-13.52404499053955,0,0.6566150739438942,0.814290986000842,0.0,0.1552728712558746,0.2739501020998737,123.046875,,
Ct_5ufRlAsw,Diss,Mozzik,https://youtube.com/watch?v=Ct_5ufRlAsw,372000,1650765,32972,2026-02-05T13:24:04Z,single,Diss,[],64,64,False,0.900288960716562,0.9595140814781188,5,-25.772573471069336,1,0.8567389789234747,0.7352393978505614,0.0,0.122565105324611,0.6179199092879331,89.10290948275862,,
ZWpt17pHYH0,So Sick,Ne-Yo,https://youtube.com/watch?v=ZWpt17pHYH0,209000,994040,1668,2026-02-02T13:01:06Z,single,So Sick,[],59,59,False,0.9372789122021892,1.0,8,-19.20306396484375,0,0.6678895021727573,0.8011770248852487,0.0,0.0507572870701551,0.2212296962672127,95.703125,,
MTn_bhTVr2U,Vincent's Tale - Starry Night,Ren,https://youtube.com/watch?v=MTn_bhTVr2U,480000,1579165,67457,2026-01-29T20:00:07Z,single,Vincent's Tale - Starry Night,[],63,63,False,0.9253466749226382,1.0,7,-20.479372024536133,0,0.82873369353563,0.7737319757564723,0.0,0.1372799705713987,0.2253464536365291,95.703125,,
LoElk8clGVg,Die For Me,ZAYN,https://youtube.com/watch?v=LoElk8clGVg,180000,2403610,193179,2026-02-06T05:00:06Z,single,Die For Me,[],67,67,False,0.7943175108224405,1.0,7,-12.43113613128662,0,0.4848930064497574,0.7870690823153461,0.0,0.0580830909311771,0.1442867843918285,56.17357336956522,,
cWUCy_VnDzw,First Quarter 2.0,W1ZZY,https://youtube.com/watch?v=cWUCy_VnDzw,147000,68139,1766,2026-02-05T20:00:34Z,single,First Quarter 2.0,[],36,36,False,0.908005965763985,1.0,7,-11.739996910095217,1,0.6299005275971317,0.764833114904131,0.0,0.0864803520962596,0.6813687827643804,123.046875,,
7sxVHYZ_PnA,Aperture,Harry Styles,https://youtube.com/watch?v=7sxVHYZ_PnA,352000,17308997,593211,2026-01-23T17:00:07Z,single,Aperture,[],84,84,False,0.909785309146518,1.0,2,-16.494781494140625,1,0.4239680697650809,0.9018040798155296,0.0,0.1434701131656766,0.6731278255276706,129.19921875,,
WxKkHSfwN4c,Birthday feat. Burna Boy & Steel Banglez,Fredo,https://youtube.com/watch?v=WxKkHSfwN4c,166000,2389237,23337,2026-01-30T18:06:39Z,single,Birthday feat. Burna Boy & Steel Banglez,[],67,67,False,0.9420717339063842,1.0,7,-12.611162185668944,1,0.5651986631196692,0.7934011910095908,0.0,0.1065018214285373,0.6377085713485614,103.359375,,
W6lIvxWfxLI,Shape of You,Ed Sheeran,https://youtube.com/watch?v=W6lIvxWfxLI,235000,1671508,4641,2026-02-04T10:58:26Z,single,Shape of You,[],64,64,False,0.8977341688708695,1.0,6,-14.972963333129885,1,0.5698125171782139,0.8118442120807658,0.0,0.054492138326168,0.6866218056878851,129.19921875,,
AYtbfAAHP6c,(When You Gonna) Give It Up to Me [feat. Keyshia Cole] [Sped Up],Unknown Artist,https://youtube.com/watch?v=AYtbfAAHP6c,227000,837898,6608,2026-02-02T14:57:38Z,single,(When You Gonna) Give It Up to Me [feat. Keyshia Cole] [Sped Up],[],58,58,False,0.8696764951606083,1.0,8,-18.118314743041992,0,0.5207086830087895,0.7570756510053026,0.0,0.0379566700430586,0.3084370076123625,135.99917763157896,,
PoHPFLaOPNo,Perfect,Ed Sheeran,https://youtube.com/watch?v=PoHPFLaOPNo,264000,1580525,5685,2026-02-04T00:05:02Z,single,Perfect,[],63,63,False,0.8071532778078685,1.0,8,-15.327423095703123,0,0.5788339493287362,0.822761195280794,0.0,0.0315280379727482,0.1526338390005638,63.02400914634146,,
vysZMyXS78U,Familiar Faces,Unknown Artist,https://youtube.com/watch?v=vysZMyXS78U,185000,44621,1974,2026-02-05T10:02:16Z,single,Familiar Faces,[],32,32,False,0.9167740324582778,1.0,8,-17.237546920776367,0,0.8463985028682608,0.7881430655269257,0.0,0.0482487608678638,0.2778722901709611,123.046875,,
3nvp55jqFnk,Left Out ft. M Huncho,Nafe Smallz,https://youtube.com/watch?v=3nvp55jqFnk,152000,288232,10372,2026-01-29T19:00:06Z,single,Left Out ft. M Huncho,[],49,49,False,0.9055235269139924,1.0,3,-12.389899253845217,0,0.682024140771762,0.7404409018930059,0.0,0.1081092059612274,0.297332302216049,129.19921875,,
kvGfRQx7eu4,Run My Way,December 10,https://youtube.com/watch?v=kvGfRQx7eu4,164000,1088603,26835,2026-01-30T16:00:06Z,single,Run My Way,[],60,60,False,0.8752579866427905,1.0,5,-16.07345962524414,1,0.6099356531548317,0.7659962370534875,0.0,0.1118463734164834,0.6018092337968156,83.35433467741936,,
WPR0Yd46y2o,Runnin,Fredo,https://youtube.com/watch?v=WPR0Yd46y2o,168000,2208877,32553,2026-01-19T21:00:06Z,single,Runnin,[],66,66,False,0.9000078377921865,1.0,6,-11.61233901977539,0,0.589417033494976,0.7677085625019017,0.0,0.0799388047307729,0.2932421531247147,129.19921875,,
x59r7Sy6jqA,My Regards [Official Music Video],Maisie Peters,https://youtube.com/watch?v=x59r7Sy6jqA,230000,616794,10279,2026-02-06T09:00:07Z,single,My Regards [Official Music Video],[],55,55,False,0.9317300875826784,1.0,4,-12.634533882141112,1,0.5393089278474792,0.7850988954565643,0.0,0.09502914827317,0.6783289156815154,123.046875,,
pQirHUlxcsc,Inima ta (feat. Just Eddie) (Radio Edit),Unknown Artist,https://youtube.com/watch?v=pQirHUlxcsc,217000,343167,8361,2026-02-05T10:02:06Z,single,Inima ta (feat. Just Eddie) (Radio Edit),[],50,50,False,0.9305946678072192,1.0,1,-18.314374923706055,1,0.5638863246229326,0.7821552795874924,0.0,0.0275238709291443,0.6787704580618762,123.046875,,
GNMaG_sq20w,Straight Drop X6,Asco,https://youtube.com/watch?v=GNMaG_sq20w,181000,713896,13253,2026-01-22T19:00:00Z,single,Straight Drop X6,[],57,57,False,0.8936684305865725,1.0,3,-17.8458309173584,0,0.7065625826504045,0.8223535547070635,0.0,0.0823423685505986,0.2850454042939404,129.19921875,,
hcE7TL9KnNI,LugaVellz (Tribute),Digga,https://youtube.com/watch?v=hcE7TL9KnNI,141000,338710,15880,2026-01-26T20:30:08Z,single,LugaVellz (Tribute),[],50,50,False,0.9388869693086024,1.0,9,-16.124820709228516,1,0.6608888834822776,0.7542438268282992,0.0,0.0869045900180935,0.635631454821909,99.38401442307692,,
xKau76yc4HE,Llorando Se Fue (1981),Kjarkas,https://youtube.com/watch?v=xKau76yc4HE,245000,2803206,37551,2018-01-31T16:10:32Z,single,Llorando Se Fue (1981),[],68,68,False,0.5,0.5,0,-10.0,1,0.1,0.5,0.5,0.2,0.5,120.0,seed_query,file:data_extraction/seed_queries.txt
XvziPPpryv0,Superman,Goldfinger,https://youtube.com/watch?v=XvziPPpryv0,187000,9543800,93189,2020-09-18T20:06:06Z,single,Superman,[],79,79,False,0.5,0.5,0,-10.0,1,0.1,0.5,0.5,0.2,0.5,120.0,seed_query,file:data_extraction/seed_queries.txt
